rank,symbol,week1_return,week1_priority,week1_score,week2_return,week2_priority,week2_score,week3_return,week3_priority,week3_score,week4_return,week4_priority,week4_score,week5_return,week5_priority,week5_score,total_score
1,TATACOMM,17.78,5,88.9,6.54,4,26.16,0.35,3,1.05,3.94,2,7.88,-0.87,1,-0.87,123.12
2,IDEA,7.77,5,38.85,15.21,4,60.84,2.18,3,6.54,6.68,2,13.36,-1.24,1,-1.24,118.35
3,TRITURBINE,16.66,5,83.3,1.07,4,4.28,4.17,3,12.51,0.06,2,0.12,10.0,1,10.0,110.21
4,HFCL,0.62,5,3.1,6.17,4,24.68,15.37,3,46.11,14.03,2,28.06,3.32,1,3.32,105.27
5,FSL,13.81,5,69.05,-12.46,4,-49.84,27.56,3,82.68,1.73,2,3.46,-12.6,1,-12.6,92.75
6,RRKABEL,1.47,5,7.35,0.59,4,2.36,20.65,3,61.95,7.6,2,15.2,-2.28,1,-2.28,84.58
7,DEEPAKFERT,12.34,5,61.7,-0.49,4,-1.96,6.51,3,19.53,2.62,2,5.24,-0.25,1,-0.25,84.26
8,HONAUT,22.3,5,111.5,-3.91,4,-15.64,-3.92,3,-11.76,-1.07,2,-2.14,-5.2,1,-5.2,76.76
9,BIOCON,0.42,5,2.1,13.05,4,52.2,5.9,3,17.7,2.39,2,4.78,-2.68,1,-2.68,74.1
10,BHEL,3.27,5,16.35,-0.42,4,-1.68,13.97,3,41.91,3.82,2,7.64,5.92,1,5.92,70.14
11,SAREGAMA,-0.7,5,-3.5,15.47,4,61.88,3.89,3,11.67,-0.84,2,-1.68,1.39,1,1.39,69.76
12,BSE,6.44,5,32.2,2.82,4,11.28,6.15,3,18.45,5.06,2,10.12,-2.66,1,-2.66,69.39
13,ACUTAAS,8.3,5,41.5,-0.51,4,-2.04,3.98,3,11.94,7.64,2,15.28,1.36,1,1.36,68.04
14,GLAND,9.99,5,49.95,-2.19,4,-8.76,8.77,3,26.31,1.93,2,3.86,-4.59,1,-4.59,66.77
15,LAURUSLABS,1.5,5,7.5,7.39,4,29.56,11.44,3,34.32,-1.6,2,-3.2,-1.96,1,-1.96,66.22
16,ADANIENT,0.64,5,3.2,8.86,4,35.44,4.83,3,14.49,4.7,2,9.4,3.12,1,3.12,65.65
17,CAPLIPOINT,1.91,5,9.55,8.04,4,32.16,8.52,3,25.56,-0.61,2,-1.22,-2.91,1,-2.91,63.14
18,JSWCEMENT,13.16,5,65.8,-0.67,4,-2.68,1.16,3,3.48,-1.33,2,-2.66,-2.31,1,-2.31,61.63
19,SOLARINDS,3.56,5,17.8,7.51,4,30.04,3.49,3,10.47,1.61,2,3.22,-0.55,1,-0.55,60.98
20,ENDURANCE,7.16,5,35.8,0.54,4,2.16,8.49,3,25.47,0.27,2,0.54,-3.39,1,-3.39,60.58
